,238,8053,Universitas Muhammadiyah Palu,4335,6553,7212
,239,8088,Universitas Fajar,9433,4298,7212
,240,8088,Sekolah Tinggi Agama Islam STAI Indonesia,4401,6553,7212
,241,8096,Institut Teknologi Nasional ITN Malang,10960,3214,7212
,242,8120,Universitas Bakrie,9829,4094,7212
,243,8130,Sekolah Tinggi Ilmu Administrasi STIA Karya Dharma Merauke,4446,6553,7212
,244,8136,Swiss German University,9594,4275,7212
,245,8136,(3) Fakultas Kedokteran Unswagati Cirebon,4461,6553,7212
,246,8165,Sekolah Tinggi Ilmu Statistik STIS Jakarta,9866,4158,7212
,247,8169,Politeknik Negeri Cilacap,8652,4998,7212
,248,8169,Universitas Paramadina,9622,4319,7212
,249,8197,Institut Agama Islam Negeri IAIN Batusangkar,10746,3577,7212
,250,8224,Institut Agama Islam Negeri IAIN Lhokseumawe,9709,4337,7212
,251,8230,(3) Sekolah Teknik Elektro dan Informatika Surabaya,11327,3180,7212
,252,8251,Universitas Pembangunan Panca Budi Medan,12508,2288,7212
,253,8324,Universitas Widya Husada Semarang,4718,6553,7212
,254,8364,Universitas Internasional Batam,10254,4172,7212
,255,8364,Institut Keguruan dan Ilmu Pendidikan IKIP Siliwangi,12183,2693,7212
,256,8377,Universitas Pembangunan Nasional Veteran Jawa Timur,4793,6553,7212
,257,8423,Sekolah Tinggi Pariwisata STP Bandung,9382,4802,7212
,258,8444,Universitas Darussalam Gontor,4902,6553,7212
,259,8512,Sekolah Tinggi Teknologi Terpadu Nurul Fikri Depok,4999,6553,7212
,260,8560,Politeknik Negeri Banyuwangi,10729,4151,7212
,261,8575,Institut Teknologi Kalimantan,11308,3776,7212
,262,8579,Institut Agama Islam Negeri IAIN Samarinda,10110,4586,7212
,263,8579,Universitas Semarang,5100,6553,7212
,264,8596,Institut KH Abdul Chalim,9736,4856,7212
,265,8625,Politeknik LP3I Medan,5177,6553,7212
,266,8640,Universitas Kristen Krida Wacana,11908,3419,7212
,267,8650,UIN Satu Tulungagung,8910,5384,7212
,268,8650,Universitas Muhammadiyah Kalimantan Timur,11528,3741,7212
,269,8664,Politeknik Negeri Pontianak,10558,4402,7212
,270,8674,Universitas YARSI,5250,6553,7212
,271,8748,Universitas Majalengka,12019,3511,7212
,272,8773,Universitas Pembangunan Nasional Veteran Jakarta,5391,6553,7212
,273,8800,Universitas Pattimura,5428,6553,7212
,274,8809,Universitas Islam Negeri UIN Sumatera Utara,5440,6553,7212
,275,8826,Sekolah Tinggi Ilmu Kesehatan STIKES Dharma Husada Bandung,8129,5886,7212
,276,8850,Institut Teknologi Del (Politeknik Informatika Del),9829,5100,7212
,277,8866,Universitas PGRI Palembang,5510,6553,7212
,278,8874,Universitas Buana Perjuangan Karawang,12142,3605,7212
,279,8957,Universitas Proklamasi 45 Yogyakarta,9919,5171,7212
,280,8975,Universitas Kanjuruhan Malang,5651,6553,7212
,281,8996,Universitas Respati Indonesia URINDO,10182,5069,7212
,282,8996,Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP Dampal Selatan,5687,6553,7212
,283,8996,Universitas Wahid Hasyim UNWAHAS,5678,6553,7212
,284,9014,Sekolah Tinggi Ilmu Komunikasi LSPR Jakarta,10632,4805,7212
,285,9014,Poltekkes Gorontalo,10584,4848,7212
,286,9030,Institut Kesehatan HELVETIA,11998,3920,7212
,287,9041,Politeknik Keuangan Negara STAN PKN,11777,4116,7212
,288,9053,Poltekkes Kalimantan Timur,9288,5569,7212
